                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.182,                 2.6131,                  1.473,                0.00333,                      1,                0.31453,                0.11065,                0.84889,                 3.2324,                 1.2713,                 0.0874,                 0.0014,                 0.0014
                      1,                0.64646,                 2.3577,                 1.1774,                0.00333,                      1,                0.60508,                0.30387,                0.28661,                 2.9887,                0.80486,               0.073886,              0.0028856,              0.0028856
                      2,                 0.4916,                 1.9539,                  1.097,                0.00333,                      1,                0.79301,                0.50763,                0.32071,                 2.9112,                0.79321,               0.060356,              0.0043564,              0.0043564
                      3,                0.44215,                 1.5126,                 1.0625,                0.50902,                0.35484,                0.43953,                0.35977,                0.47489,                 2.7601,                0.96667,               0.046812,              0.0058124,              0.0058124
                      4,                0.52969,                 1.2403,                 1.0684,                0.32879,                0.67742,                0.44882,                0.36861,                0.84942,                 2.9012,                 1.2749,               0.033253,              0.0072535,              0.0072535
                      5,                0.51613,                 1.1535,                 1.0938,                0.85226,                0.74441,                 0.9198,                0.84509,                0.52607,                 2.3694,                0.94751,                0.01968,              0.0086797,              0.0086797
                      6,                0.52469,                 1.1402,                 1.0153,                0.49537,                0.70968,                0.62523,                0.61377,                0.79803,                 3.5496,                 1.2453,               0.009703,               0.009703,               0.009703
                      7,                 0.5851,                 1.0981,                 1.0803,                0.32817,                0.90323,                0.39969,                0.29091,                0.79586,                 9.1563,                 1.1303,               0.009703,               0.009703,               0.009703
                      8,                 0.6136,                 1.1982,                 1.1029,                0.31205,                0.96774,                0.37241,                 0.2527,                0.79815,                 6.3818,                 1.0476,              0.0096535,              0.0096535,              0.0096535
                      9,                0.55032,                 1.1961,                 1.0863,                0.53341,                      1,                0.57635,                0.56244,                0.42672,                 2.8436,                0.83777,               0.009604,               0.009604,               0.009604
                     10,                0.51265,                 1.1012,                 1.0487,                0.51638,                0.99885,                  0.784,                0.75369,                0.48465,                 2.4869,                0.81746,              0.0095545,              0.0095545,              0.0095545
                     11,                 0.5845,                 1.0734,                 1.0789,                 0.8026,                0.96774,                 0.9138,                0.85553,                0.57083,                 1.5947,                0.86411,               0.009505,               0.009505,               0.009505
                     12,                0.55018,                 1.0557,                 1.0719,                0.37517,                0.58065,                0.43841,                0.40743,                0.47793,                 2.6912,                0.82785,              0.0094555,              0.0094555,              0.0094555
                     13,                0.54649,                0.97053,                 1.0198,                0.33458,                0.94081,                0.55754,                0.49086,                0.49875,                 2.7799,                0.86766,               0.009406,               0.009406,               0.009406
                     14,                0.60291,                  1.092,                   1.12,                 0.6052,                0.51613,                0.65586,                0.59131,                0.51053,                 2.3845,                0.84309,              0.0093565,              0.0093565,              0.0093565
                     15,                0.57084,                 1.1118,                 1.0945,                0.36766,                0.93548,                0.57356,                0.56256,                0.39485,                  2.847,                0.76258,               0.009307,               0.009307,               0.009307
                     16,                0.57665,                 1.0379,                 1.0821,                0.35047,                0.93548,                0.42871,                0.38078,                0.59629,                 3.9226,                0.97809,              0.0092575,              0.0092575,              0.0092575
                     17,                0.56262,                0.99946,                 1.0814,                0.37281,                0.96774,                 0.4382,                 0.3874,                0.74851,                 4.5874,                 1.0933,               0.009208,               0.009208,               0.009208
                     18,                0.50506,                0.92913,                 1.0629,                0.37231,                      1,                0.55386,                0.54175,                0.58623,                 4.4281,                0.92421,              0.0091585,              0.0091585,              0.0091585
                     19,                0.55745,                0.89304,                  1.044,                0.47063,                      1,                0.59176,                0.58771,                0.63605,                 3.5245,                 0.9989,               0.009109,               0.009109,               0.009109
                     20,                0.56649,                0.89031,                 1.0563,                0.47391,                0.87178,                0.67943,                0.62752,                0.77337,                 3.2151,                0.93401,              0.0090595,              0.0090595,              0.0090595
                     21,                0.54042,                0.92003,                 1.0643,                0.63858,                0.87097,                0.82924,                0.81694,                0.46839,                 2.2436,                 0.8415,                0.00901,                0.00901,                0.00901
                     22,                0.51839,                0.84745,                 1.0139,                0.62044,                0.79117,                0.74233,                0.73789,                0.45466,                 2.1693,                0.80827,              0.0089605,              0.0089605,              0.0089605
                     23,                0.50876,                0.84616,                 1.0256,                  0.579,                0.96774,                0.82406,                0.82286,                0.29532,                 2.0489,                 0.6733,               0.008911,               0.008911,               0.008911
                     24,                0.50549,                 0.9168,                 1.0207,                0.45614,                0.80645,                0.71998,                0.71278,                0.36715,                 2.2561,                0.75617,              0.0088615,              0.0088615,              0.0088615
                     25,                0.51043,                0.86755,                 1.0477,                0.39626,                0.95286,                0.46082,                0.43065,                0.38601,                 2.3853,                 0.7955,               0.008812,               0.008812,               0.008812
                     26,                0.47667,                0.82557,                 1.0304,                0.47141,                0.93548,                 0.8311,                0.82743,                 0.3224,                 2.0866,                0.73186,              0.0087625,              0.0087625,              0.0087625
                     27,                0.46526,                0.73453,                0.98581,                0.44981,                0.93548,                0.86801,                0.84873,                0.34229,                 2.4723,                0.66782,               0.008713,               0.008713,               0.008713
                     28,                0.48412,                0.74216,                 1.0016,                0.58184,                0.80794,                0.85243,                0.77256,                0.45638,                 2.3044,                0.79176,              0.0086635,              0.0086635,              0.0086635
                     29,                0.49493,                0.74315,                 1.0266,                0.60444,                0.74194,                0.83286,                0.79944,                  0.406,                  2.286,                0.73268,               0.008614,               0.008614,               0.008614
                     30,                 0.4677,                0.78004,                  1.009,                0.66001,                0.93938,                0.87307,                0.76688,                0.56642,                 1.9492,                 0.8209,              0.0085645,              0.0085645,              0.0085645
                     31,                0.49538,                 0.7311,                 1.0464,                0.63169,                0.93548,                 0.8161,                0.78511,                0.40077,                 1.8841,                0.72726,               0.008515,               0.008515,               0.008515
                     32,                0.48824,                0.75969,                 1.0104,                0.58563,                0.96774,                 0.7327,                0.72829,                0.33668,                 2.0307,                0.71587,              0.0084655,              0.0084655,              0.0084655
                     33,                0.47295,                0.76181,                 1.0444,                0.52727,                0.93548,                0.76348,                0.74255,                 0.3962,                 2.0225,                0.75174,               0.008416,               0.008416,               0.008416
                     34,                0.47905,                0.71315,                 1.0169,                0.54801,                0.93873,                0.71623,                0.67079,                0.41889,                 1.8113,                0.77199,              0.0083665,              0.0083665,              0.0083665
                     35,                0.46656,                0.65552,                0.98719,                0.49351,                0.77419,                0.68248,                0.64731,                0.45612,                 1.7996,                0.79187,               0.008317,               0.008317,               0.008317
                     36,                0.48264,                0.66074,                 1.0276,                 0.6889,                0.87097,                0.77394,                 0.7361,                0.45865,                 1.5454,                0.77554,              0.0082675,              0.0082675,              0.0082675
                     37,                0.49629,                0.68734,                 1.0284,                 0.7222,                0.92269,                0.90989,                0.89681,                0.34699,                 1.1848,                0.71218,               0.008218,               0.008218,               0.008218
                     38,                0.45501,                0.71462,                   1.01,                0.99727,                      1,                  0.995,                0.94775,                 0.3731,                0.66086,                0.75644,              0.0081685,              0.0081685,              0.0081685
                     39,                0.46942,                0.65589,                 1.0142,                 0.9633,                      1,                0.99406,                0.86813,                0.49696,                0.75776,                0.86503,               0.008119,               0.008119,               0.008119
                     40,                0.45488,                0.67223,                 1.0143,                0.66078,                0.93548,                0.87814,                0.84661,                0.43567,                 1.4329,                0.85451,              0.0080695,              0.0080695,              0.0080695
                     41,                0.44562,                 0.6104,                0.97962,                0.54042,                0.93548,                0.73177,                0.72295,                 0.4032,                  1.507,                0.73284,                0.00802,                0.00802,                0.00802
                     42,                0.45189,                0.62058,                 0.9792,                      1,                0.99277,                  0.995,                  0.995,                0.33308,                 1.0712,                0.67208,              0.0079705,              0.0079705,              0.0079705
                     43,                0.44975,                0.58097,                 1.0033,                0.92043,                0.87097,                0.95444,                0.94953,                0.34951,                 1.2225,                0.69594,               0.007921,               0.007921,               0.007921
                     44,                0.43951,                0.56629,                0.98094,                0.48681,                0.93548,                0.71458,                0.70242,                0.40481,                 1.5244,                0.80766,              0.0078715,              0.0078715,              0.0078715
                     45,                0.42776,                0.56456,                0.99152,                0.58582,                0.91266,                0.83154,                0.76817,                0.48089,                 1.5768,                 0.8476,               0.007822,               0.007822,               0.007822
                     46,                0.45023,                0.65244,                  1.016,                0.93646,                      1,                0.99125,                0.91987,                0.54028,                   1.12,                0.90773,              0.0077725,              0.0077725,              0.0077725
                     47,                0.46675,                0.61813,                  1.009,                0.95831,                      1,                  0.995,                0.94732,                0.41393,                0.87468,                0.74902,               0.007723,               0.007723,               0.007723
